time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.05,0.05,0.0,0.138,-0.08,0.0,0.40000000000009095,0.5,-0.5,251.00000000000006,250.00000000000006
0.1,0.05,0.0,0.138,-0.0785621839899874,0.0,0.9783355409931573,0.5,-0.5,254.00000000000006,254.00000000000006
0.15000000000000002,0.05,0.0,0.138,-0.07605309972095693,0.0,1.8422673291456704,0.5,-0.5,255.00000000000006,255.00000000000006
0.2,0.05,0.0,0.138,-0.07313279335529456,0.0,2.8616998949578374,0.5,-0.5,254.00000000000006,254.00000000000006
0.25,0.05,0.0,0.138,-0.07005193610979138,0.0,3.948554187219088,0.5,-0.5,254.00000000000006,254.00000000000006
0.3,0.05,0.0,0.138,-0.06690839598506362,0.0,5.062754414330357,0.5,-0.5,254.00000000000006,254.00000000000006
0.35,0.05,0.0,0.138,-0.06374038297453305,0.0,6.187787064252461,0.5,-0.5,254.00000000000006,254.00000000000006
0.39999999999999997,0.05,0.0,0.138,-0.06056281516774989,0.0,7.317072716476559,0.5,-0.5,254.00000000000006,255.00000000000006
0.44999999999999996,0.05,0.0,0.138,-0.05738151694142553,0.0,8.448022464695441,0.5,-0.5,255.00000000000006,254.00000000000006
0.49999999999999994,0.05,0.0,0.138,-0.0541987622706532,0.0,9.579622467769696,0.5,-0.5,254.00000000000006,255.00000000000006
0.5499999999999999,0.05,0.0,0.138,-0.0510154389693538,0.0,10.711476429970844,0.5,-0.5,254.00000000000006,254.00000000000006
0.6,0.05,0.0,0.138,-0.04783189366118223,0.0,11.843429556681713,0.5,-0.5,254.00000000000006,254.00000000000006
0.65,0.05,0.0,0.138,-0.04464826167625146,0.0,12.975421401530639,0.5,-0.5,254.00000000000006,254.00000000000006
0.7000000000000001,0.05,0.0,0.138,-0.04146459585065391,0.0,14.107428363157396,0.5,-0.5,254.00000000000006,254.00000000000006
0.7500000000000001,0.05,0.0,0.138,-0.03828091681285573,0.0,15.2394412267804,0.5,-0.5,255.00000000000006,255.00000000000006
0.8000000000000002,0.05,0.0,0.138,-0.03509723261670045,0.0,16.371456394689176,0.5,-0.5,254.00000000000006,254.00000000000006
0.8500000000000002,0.05,0.0,0.138,-0.03191354640659995,0.0,17.50347246224692,0.5,-0.5,254.00000000000006,254.00000000000006
0.9000000000000002,0.05,0.0,0.138,-0.02872985941020737,0.0,18.63548888104924,0.5,-0.5,254.00000000000006,254.00000000000006
0.9500000000000003,0.05,0.0,0.138,-0.025546172106827685,0.0,19.767505436986085,0.5,-0.5,255.00000000000006,254.00000000000006
1.0000000000000002,0.05,0.0,0.138,-0.022362484683592927,0.0,20.89952204646397,0.5,-0.5,255.00000000000006,254.00000000000006
1.0500000000000003,0.05,0.0,0.138,-0.0191151234639216,0.0,22.054179009559903,0.5,-0.5,255.00000000000006,254.00000000000006
1.1000000000000003,0.05,0.0,0.138,-0.015931435975404903,0.0,23.186195648198918,0.5,-0.5,254.00000000000006,254.00000000000006
1.1500000000000004,0.05,0.0,0.138,-0.012747748479888271,0.0,24.31821228996523,0.5,-0.5,254.00000000000006,254.00000000000006
1.2000000000000004,0.05,0.0,0.138,-0.009564060981638714,0.0,25.45022893295254,0.5,-0.5,254.00000000000006,255.00000000000006
1.2500000000000004,0.05,0.0,0.138,-0.006380373482322135,0.0,26.58224557641597,0.5,-0.5,255.00000000000006,254.00000000000006
1.3000000000000005,0.05,0.0,0.138,-0.0031966859825889316,0.0,27.714262220065848,0.5,-0.5,254.00000000000006,254.00000000000006
1.3500000000000005,0.05,0.0,0.138,-1.2998482693135638E-5,0.0,28.84627886378894,0.5,-0.5,255.00000000000006,254.00000000000006
1.4000000000000006,0.05,0.0,0.138,0.003170689017266193,0.0,29.97829550753886,0.5,-0.5,254.00000000000006,255.00000000000006
1.4500000000000006,0.05,0.0,0.138,0.006354376517250335,0.0,31.11031215130106,0.5,-0.5,255.00000000000006,254.00000000000006
1.5000000000000007,0.05,0.0,0.138,0.009538064017244136,0.0,32.24232879506735,0.5,-0.5,255.00000000000006,255.00000000000006
1.5500000000000007,0.05,0.0,0.138,0.012721751517241683,0.0,33.37434543883501,0.5,-0.5,254.00000000000006,254.00000000000006
1.6000000000000008,0.05,0.0,0.138,0.015905439017240758,0.0,34.50636208260403,0.5,-0.5,254.00000000000006,254.00000000000006
1.6500000000000008,0.05,0.0,0.138,0.0190891265172404,0.0,35.63837872637305,0.5,-0.5,255.00000000000006,255.00000000000006
1.7000000000000008,0.05,0.0,0.138,0.022272814017240045,0.0,36.770395370141614,0.5,-0.5,254.00000000000006,254.00000000000006
1.7500000000000009,0.05,0.0,0.138,0.025456501517239688,0.0,37.902412013910634,0.5,-0.5,255.00000000000006,254.00000000000006
1.800000000000001,0.05,0.0,0.138,0.02864018901723933,0.0,39.03442865768011,0.5,-0.5,254.00000000000006,254.00000000000006
1.850000000000001,0.05,0.0,0.138,0.03182387651723899,0.0,40.166445301448675,0.5,-0.5,254.00000000000006,254.00000000000006
1.900000000000001,0.05,0.0,0.138,0.03500756401723863,0.0,41.29846194521815,0.5,-0.5,254.00000000000006,255.00000000000006
