time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
0.01,0.01,0.0,0.138,-0.08,0.0,0.08000000000038199,0.4,-0.4,143.00000000000003,144.00000000000003
0.02,0.01,0.0,0.138,-0.07989384341742663,0.0,0.1663679864595906,0.4,-0.4,206.00000000000006,206.00000000000006
0.03,0.01,0.0,0.138,-0.07970661619630784,0.0,0.26040546423018895,0.4,-0.4,233.00000000000006,233.00000000000006
0.04,0.01,0.0,0.138,-0.0794641464665083,0.0,0.36306333867696594,0.4,-0.4,246.00000000000006,245.00000000000006
0.05,0.01,0.0,0.138,-0.07917590741437532,0.0,0.4744434397848636,0.4,-0.4,251.00000000000006,251.00000000000006
0.060000000000000005,0.01,0.0,0.138,-0.07884974719198992,0.0,0.5941347462353406,0.4,-0.4,252.00000000000006,253.00000000000006
0.07,0.01,0.0,0.138,-0.0784921682139571,0.0,0.7214566500274486,0.4,-0.4,254.00000000000006,254.00000000000006
0.08,0.01,0.0,0.138,-0.07810855791358207,0.0,0.8556118074725418,0.4,-0.4,254.00000000000006,254.00000000000006
0.09,0.01,0.0,0.138,-0.07770337993081736,0.0,0.9957793493967984,0.4,-0.4,254.00000000000006,254.00000000000006
0.09999999999999999,0.01,0.0,0.138,-0.07728033251685174,0.0,1.1411691592870739,0.4,-0.4,254.00000000000006,255.00000000000006
0.10999999999999999,0.01,0.0,0.138,-0.07684247977676555,0.0,1.2910510906531272,0.4,-0.4,255.00000000000006,254.00000000000006
0.11999999999999998,0.01,0.0,0.138,-0.0763923604077603,0.0,1.4447683601983954,0.4,-0.4,255.00000000000006,254.00000000000006
0.12999999999999998,0.01,0.0,0.138,-0.07593207779183889,0.0,1.6017412209494069,0.4,-0.4,254.00000000000006,255.00000000000006
0.13999999999999999,0.01,0.0,0.138,-0.07546337464012391,0.0,1.7614649095949062,0.4,-0.4,254.00000000000006,254.00000000000006
0.15,0.01,0.0,0.138,-0.07498769483777401,0.0,1.923504447657706,0.4,-0.4,255.00000000000006,255.00000000000006
0.16,0.01,0.0,0.138,-0.07450623468423564,0.0,2.0874879327730014,0.4,-0.4,254.00000000000006,255.00000000000006
0.17,0.01,0.0,0.138,-0.07401998534723228,0.0,2.25309933192284,0.4,-0.4,254.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.138,-0.07352976803708788,0.0,2.4200713788372923,0.4,-0.4,255.00000000000006,255.00000000000006
0.19000000000000003,0.01,0.0,0.138,-0.07303626314964291,0.0,2.5881789125273826,0.4,-0.4,254.00000000000006,255.00000000000006
0.20000000000000004,0.01,0.0,0.138,-0.0725400344119794,0.0,2.757232824843868,0.4,-0.4,254.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.138,-0.07204154888783311,0.0,2.927074679819725,0.4,-0.4,254.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.138,-0.07154119355263988,0.0,3.097572004378435,0.4,-0.4,255.00000000000006,254.00000000000006
0.23000000000000007,0.01,0.0,0.138,-0.0710392890264275,0.0,3.2686142140619268,0.4,-0.4,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.138,-0.07053610095190274,0.0,3.4401091189815816,0.4,-0.4,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.138,-0.07003184942151623,0.0,3.6119799476209664,0.4,-0.4,254.00000000000006,254.00000000000006
0.26000000000000006,0.01,0.0,0.138,-0.06952671678805089,0.0,3.7841628251721886,0.4,-0.4,254.00000000000006,254.00000000000006
0.2700000000000001,0.01,0.0,0.138,-0.06902085413591395,0.0,3.9566046459676727,0.4,-0.4,254.00000000000006,254.00000000000006
0.2800000000000001,0.01,0.0,0.138,-0.06851438664278425,0.0,4.1292612844458745,0.4,-0.4,254.00000000000006,254.00000000000006
0.2900000000000001,0.01,0.0,0.138,-0.06800741802188794,0.0,4.302096094821991,0.4,-0.4,254.00000000000006,254.00000000000006
0.3000000000000001,0.01,0.0,0.138,-0.06750003420254855,0.0,4.475078655644666,0.4,-0.4,254.00000000000006,254.00000000000006
0.3100000000000001,0.01,0.0,0.138,-0.06699230637962644,0.0,4.648183721121768,0.4,-0.4,254.00000000000006,255.00000000000006
0.3200000000000001,0.01,0.0,0.138,-0.06648429354006495,0.0,4.821390346418866,0.4,-0.4,254.00000000000006,254.00000000000006
0.3300000000000001,0.01,0.0,0.138,-0.06597604455620491,0.0,4.994681158940239,0.4,-0.4,254.00000000000006,254.00000000000006
0.34000000000000014,0.01,0.0,0.138,-0.06546759992015473,0.0,5.168041751817327,0.4,-0.4,254.00000000000006,254.00000000000006
0.35000000000000014,0.01,0.0,0.138,-0.06495899318076456,0.0,5.341460179497062,0.4,-0.4,254.00000000000006,255.00000000000006
0.36000000000000015,0.01,0.0,0.138,-0.06445025213419991,0.0,5.514926538545296,0.4,-0.4,254.00000000000006,255.00000000000006
0.37000000000000016,0.01,0.0,0.138,-0.06394139981036541,0.0,5.688432619415835,0.4,-0.4,254.00000000000006,254.00000000000006
0.38000000000000017,0.01,0.0,0.138,-0.06343245529018443,0.0,5.861971617347081,0.4,-0.4,254.00000000000006,255.00000000000006
0.3900000000000002,0.01,0.0,0.138,-0.06292343438273844,0.0,6.035537892386856,0.4,-0.4,255.00000000000006,254.00000000000006
0.4000000000000002,0.01,0.0,0.138,-0.06241435018629589,0.0,6.209126770301282,0.4,-0.4,254.00000000000006,254.00000000000006
0.4100000000000002,0.01,0.0,0.138,-0.06190521355314042,0.0,6.382734377404631,0.4,-0.4,254.00000000000006,255.00000000000006
0.4200000000000002,0.01,0.0,0.138,-0.06139603347469412,0.0,6.556357503592608,0.4,-0.4,254.00000000000006,254.00000000000006
0.4300000000000002,0.01,0.0,0.138,-0.060886817400602956,0.0,6.729993488755554,0.4,-0.4,254.00000000000006,255.00000000000006
0.4400000000000002,0.01,0.0,0.138,-0.06037757150310808,0.0,6.903640128610732,0.4,-0.4,254.00000000000006,254.00000000000006
0.45000000000000023,0.01,0.0,0.138,-0.059868300896084796,0.0,7.077295596639033,0.4,-0.4,254.00000000000006,254.00000000000006
0.46000000000000024,0.01,0.0,0.138,-0.05935900981652254,0.0,7.25095837937215,0.4,-0.4,254.00000000000006,254.00000000000006
0.47000000000000025,0.01,0.0,0.138,-0.0588497017748862,0.0,7.42462722276241,0.4,-0.4,254.00000000000006,254.00000000000006
0.48000000000000026,0.01,0.0,0.138,-0.05834037967969463,0.0,7.598301087726213,0.4,-0.4,255.00000000000006,254.00000000000006
0.49000000000000027,0.01,0.0,0.138,-0.057831045940737444,0.0,7.771979113306315,0.4,-0.4,254.00000000000006,254.00000000000006
0.5000000000000002,0.01,0.0,0.138,-0.05732170255459311,0.0,7.945660586145095,0.4,-0.4,254.00000000000006,254.00000000000006
0.5100000000000002,0.01,0.0,0.138,-0.05681235117548301,0.0,8.119344915181955,0.4,-0.4,255.00000000000006,254.00000000000006
0.5200000000000002,0.01,0.0,0.138,-0.05630299317397605,0.0,8.293031610692196,0.4,-0.4,254.00000000000006,254.00000000000006
0.5300000000000002,0.01,0.0,0.138,-0.05579362968562712,0.0,8.466720266915672,0.4,-0.4,254.00000000000006,255.00000000000006
0.5400000000000003,0.01,0.0,0.138,-0.055284261651275354,0.0,8.64041054765994,0.4,-0.4,254.00000000000006,255.00000000000006
0.5500000000000003,0.01,0.0,0.138,-0.054774889850432454,0.0,8.81410217437633,0.4,-0.4,254.00000000000006,254.00000000000006
0.5600000000000003,0.01,0.0,0.138,-0.054265514928945754,0.0,8.987794916276926,0.4,-0.4,255.00000000000006,254.00000000000006
0.5700000000000003,0.01,0.0,0.138,-0.05375613742191793,0.0,9.161488582142738,0.4,-0.4,254.00000000000006,254.00000000000006
0.5800000000000003,0.01,0.0,0.138,-0.0532467577726966,0.0,9.335183013542064,0.4,-0.4,254.00000000000006,254.00000000000006
0.5900000000000003,0.01,0.0,0.138,-0.052737376348607715,0.0,9.508878079212991,0.4,-0.4,254.00000000000006,254.00000000000006
0.6000000000000003,0.01,0.0,0.138,-0.05222799345399118,0.0,9.682573670394504,0.4,-0.4,254.00000000000006,254.00000000000006
0.6100000000000003,0.01,0.0,0.138,-0.051718609341001136,0.0,9.856269696979325,0.4,-0.4,255.00000000000006,254.00000000000006
0.6200000000000003,0.01,0.0,0.138,-0.05120922421855439,0.0,10.029966084307489,0.4,-0.4,255.00000000000006,255.00000000000006
0.6300000000000003,0.01,0.0,0.138,-0.05069983825974439,0.0,10.203662770522897,0.4,-0.4,255.00000000000006,254.00000000000006
0.6400000000000003,0.01,0.0,0.138,-0.05019045160798391,0.0,10.377359704375522,0.4,-0.4,254.00000000000006,255.00000000000006
0.6500000000000004,0.01,0.0,0.138,-0.04968106438209448,0.0,10.55105684340242,0.4,-0.4,254.00000000000006,254.00000000000006
0.6600000000000004,0.01,0.0,0.138,-0.04917167668052308,0.0,10.724754152420246,0.4,-0.4,255.00000000000006,254.00000000000006
0.6700000000000004,0.01,0.0,0.138,-0.04866228858483579,0.0,10.89845160228424,0.4,-0.4,254.00000000000006,255.00000000000006
0.6800000000000004,0.01,0.0,0.138,-0.0481529001626124,0.0,11.072149168840042,0.4,-0.4,254.00000000000006,254.00000000000006
0.6900000000000004,0.01,0.0,0.138,-0.047643511469844683,0.0,11.245846832079678,0.4,-0.4,254.00000000000006,255.00000000000006
0.7000000000000004,0.01,0.0,0.138,-0.04713412255292338,0.0,11.419544575424425,0.4,-0.4,255.00000000000006,254.00000000000006
0.7100000000000004,0.01,0.0,0.138,-0.04662473345028453,0.0,11.593242385139547,0.4,-0.4,255.00000000000006,254.00000000000006
0.7200000000000004,0.01,0.0,0.138,-0.04611534419377346,0.0,11.766940249842719,0.4,-0.4,254.00000000000006,255.00000000000006
0.7300000000000004,0.01,0.0,0.138,-0.04560595480977495,0.0,11.940638160106573,0.4,-0.4,254.00000000000006,254.00000000000006
0.7400000000000004,0.01,0.0,0.138,-0.045096565320149516,0.0,12.114336108116277,0.4,-0.4,254.00000000000006,255.00000000000006
0.7500000000000004,0.01,0.0,0.138,-0.044587175743009175,0.0,12.288034087402593,0.4,-0.4,255.00000000000006,254.00000000000006
0.7600000000000005,0.01,0.0,0.138,-0.04407778609336029,0.0,12.461732092601324,0.4,-0.4,254.00000000000006,254.00000000000006
0.7700000000000005,0.01,0.0,0.138,-0.043568396383636035,0.0,12.635430119267767,0.4,-0.4,254.00000000000006,255.00000000000006
0.7800000000000005,0.01,0.0,0.138,-0.04305900662413765,0.0,12.809128163723017,0.4,-0.4,254.00000000000006,255.00000000000006
0.7900000000000005,0.01,0.0,0.138,-0.042549616823400006,0.0,12.98282622291481,0.4,-0.4,254.00000000000006,255.00000000000006
0.8000000000000005,0.01,0.0,0.138,-0.04204022698849447,0.0,13.156524294318388,0.4,-0.4,254.00000000000006,255.00000000000006
0.8100000000000005,0.01,0.0,0.138,-0.04153083712527988,0.0,13.33022237583782,0.4,-0.4,254.00000000000006,255.00000000000006
