time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor1FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
1.0,1.0,0.0,0.138,-0.08,0.0,8.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0,1.0,0.0,0.138,-0.013542099344377015,0.0,26.12292697413477,0.4,-0.4,254.00000000000006,255.00000000000006
3.0,1.0,0.0,0.138,0.05535190065517549,0.0,44.82306466755426,0.4,-0.4,255.00000000000006,255.00000000000006
