time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_fail_flag,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_fail_flag,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.148,-0.08,0.0,0.0,0.0,false,2.0000000000000004,false,1.0000000000000002
0.01,0.01,0.0,0.148,-0.08,0.0,0.0,0.0,false,43.00000000000001,false,143.00000000000003
0.02,0.01,0.0,0.148,-0.08,0.0,0.0,0.0,false,101.00000000000003,false,206.00000000000006
0.03,0.01,0.0,0.148,-0.08,0.0,0.0,-0.8,false,132.00000000000003,false,232.00000000000006
0.04,0.01,0.006311013432690117,0.1479268428267488,-0.07983413460239386,0.0,0.0,-0.8,false,144.00000000000003,false,249.00000000000006
0.05,0.01,0.01670273334758738,0.14779446611313643,-0.07954464729715423,0.0,0.0,-0.8,false,162.00000000000003,false,254.00000000000006
0.060000000000000005,0.01,0.02855850809498787,0.14763823688454425,-0.07917713793291783,0.0,0.0,-0.8,false,148.00000000000003,false,242.00000000000006
0.07,0.01,0.041295060740683925,0.1474639519683842,-0.07874812573263046,0.0,0.0,-0.8,false,152.00000000000003,false,254.00000000000006
0.08,0.01,0.05456021106251644,0.1472748853229828,-0.078270752749303,0.0,0.0,-0.8,false,172.00000000000003,false,242.00000000000006
0.09,0.01,0.06814266263225728,0.14707287552039008,-0.07775549782853884,0.0,0.0,-0.8,false,150.00000000000003,false,254.00000000000006
0.09999999999999999,0.01,0.0819156221981655,0.14685897301776876,-0.07721073472743775,0.0,0.0,-0.8,false,156.00000000000003,false,254.00000000000006
0.10999999999999999,0.01,0.0958029922739275,0.14663380041033364,-0.07664316849165252,0.0,0.0,-0.8,false,222.00000000000006,false,251.00000000000006
0.11999999999999998,0.01,0.10975909366618343,0.14639775141118852,-0.07605817771939127,0.0,0.0,-0.8,false,250.00000000000006,false,250.00000000000006
0.12999999999999998,0.01,0.1237565012008644,0.14615109936367282,-0.07546008431429851,0.0,0.0,-0.8,false,252.00000000000006,false,254.00000000000006
0.13999999999999999,0.01,0.13777874546327054,0.145894055306247,-0.07485236704948901,0.0,0.0,-0.8,false,254.00000000000006,false,254.00000000000006
0.15,0.01,0.15181593347438047,0.14562679820592983,-0.0742378312489119,0.0,0.0,-0.8,false,253.00000000000006,false,254.00000000000006
0.16,0.01,0.16586212056366012,0.14534949009578535,-0.07361874394973364,0.0,0.0,-0.8,false,251.00000000000006,false,254.00000000000006
0.17,0.01,0.17991373298440896,0.14506228323374531,-0.0729969417558259,0.0,0.0,-0.8,false,254.00000000000006,false,254.00000000000006
0.18000000000000002,0.01,0.19396862105653462,0.14476532320957736,-0.07237391699568954,0.0,0.0,-0.8,false,248.00000000000006,false,251.00000000000006
0.19000000000000003,0.01,0.20802549071333762,0.14445875012336876,-0.07175088659409248,0.0,0.0,-0.8,false,252.00000000000006,false,150.00000000000003
0.20000000000000004,0.01,0.2220835621666298,0.1441426989483781,-0.07112884714402554,0.0,0.0,-0.8,false,245.00000000000006,false,170.00000000000003
0.21000000000000005,0.01,0.23614236490360818,0.1438172996329098,-0.07050861894900474,0.0,0.0,-0.8,false,254.00000000000006,false,147.00000000000003
0.22000000000000006,0.01,0.2502016145297022,0.14348267719430843,-0.06989088124348755,0.0,0.8,0.0,false,254.00000000000006,false,153.00000000000003
0.23000000000000007,0.01,0.25164393102363886,0.14328220377186476,-0.06923852149667985,0.0,0.8,0.0,false,254.00000000000006,false,148.00000000000003
0.24000000000000007,0.01,0.24492632686413054,0.14319305324321754,-0.06855634320838458,0.0,0.8,0.0,false,254.00000000000006,false,144.00000000000003
0.25000000000000006,0.01,0.23527766203253236,0.14314593857365152,-0.06786328392551685,0.0,0.8,0.0,false,246.00000000000006,false,150.00000000000003
0.26000000000000006,0.01,0.2238652703431459,0.14312809531163603,-0.06716364779013817,0.0,0.8,0.0,false,254.00000000000006,false,148.00000000000003
0.2700000000000001,0.01,0.21139432719035464,0.143131798639936,-0.06646016103605154,0.0,0.8,0.0,false,254.00000000000006,false,175.00000000000003
0.2800000000000001,0.01,0.19828805922190487,0.14315241409193336,-0.06575453156970847,0.0,0.8,0.0,false,254.00000000000006,false,145.00000000000003
0.2900000000000001,0.01,0.18480047917001627,0.14318715767067247,-0.06504784489999513,0.0,0.8,0.0,false,254.00000000000006,false,163.00000000000003
0.3000000000000001,0.01,0.17108404102914407,0.1432343549963618,-0.06434081229836644,0.0,0.8,0.0,false,254.00000000000006,false,166.00000000000003
0.3100000000000001,0.01,0.157230245179988,0.14329299717556962,-0.06363392160939528,0.0,0.8,0.0,false,250.00000000000006,false,149.00000000000003
0.3200000000000001,0.01,0.14329400874305473,0.1433624741140118,-0.06292752738144566,0.0,0.8,0.0,false,244.00000000000006,false,163.00000000000003
0.3300000000000001,0.01,0.12930829219083875,0.14344241426746934,-0.062221904274686046,0.0,0.8,0.0,false,254.00000000000006,false,254.00000000000006
0.34000000000000014,0.01,0.11529287797117918,0.14353258834286686,-0.061517278607901967,0.0,0.8,0.0,false,254.00000000000006,false,250.00000000000006
0.35000000000000014,0.01,0.1012596392830883,0.14363285145005517,-0.060813847008761,0.0,0.8,0.0,false,253.00000000000006,false,244.00000000000006
