time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
0.01,0.01,0.0,0.138,-0.08,0.0,0.08000000000038199,0.0,0.0,0.4,-0.4,143.00000000000003,142.00000000000003
0.02,0.01,0.0,0.138,-0.07989384341742663,0.0,0.1663679864595906,0.003192679175139124,-0.003192679175139124,0.4,-0.4,206.00000000000006,205.00000000000006
0.03,0.01,0.0,0.138,-0.07970661619630784,0.0,0.26040546423018895,0.00882357304337351,-0.00882357304337351,0.4,-0.4,233.00000000000006,234.00000000000006
0.04,0.01,0.0,0.138,-0.0794641464665083,0.0,0.36306333867696594,0.01611589574411111,-0.01611589574411111,0.4,-0.4,245.00000000000006,246.00000000000006
0.05,0.01,0.0,0.138,-0.07917590741437532,0.0,0.4744434397848636,0.024784739417283687,-0.024784739417283687,0.4,-0.4,250.00000000000006,251.00000000000006
0.060000000000000005,0.01,0.0,0.138,-0.07884974719198992,0.0,0.5941347462353406,0.0345940694138368,-0.0345940694138368,0.4,-0.4,254.00000000000006,254.00000000000006
0.07,0.01,0.0,0.138,-0.0784921682139571,0.0,0.7214566500274486,0.04534832439226781,-0.04534832439226781,0.4,-0.4,253.00000000000006,254.00000000000006
0.08,0.01,0.0,0.138,-0.07810855791358207,0.0,0.8556118074725418,0.056885476283246,-0.056885476283246,0.4,-0.4,255.00000000000006,254.00000000000006
0.09,0.01,0.0,0.138,-0.07770337993081736,0.0,0.9957793493967984,0.06907128027616977,-0.06907128027616977,0.4,-0.4,255.00000000000006,254.00000000000006
0.09999999999999999,0.01,0.0,0.138,-0.07728033251685174,0.0,1.1411691592870739,0.08179451077137648,-0.08179451077137648,0.4,-0.4,254.00000000000006,254.00000000000006
0.10999999999999999,0.01,0.0,0.138,-0.07684247977676555,0.0,1.2910510906531272,0.09496301423261512,-0.09496301423261512,0.4,-0.4,255.00000000000006,255.00000000000006
0.11999999999999998,0.01,0.0,0.138,-0.0763923604077603,0.0,1.4447683601983954,0.10850043886435169,-0.10850043886435169,0.4,-0.4,254.00000000000006,254.00000000000006
0.12999999999999998,0.01,0.0,0.138,-0.07593207779183889,0.0,1.6017412209494069,0.12234352505747711,-0.12234352505747711,0.4,-0.4,254.00000000000006,255.00000000000006
0.13999999999999999,0.01,0.0,0.138,-0.07546337464012391,0.0,1.7614649095949062,0.13643986044740133,-0.13643986044740133,0.4,-0.4,254.00000000000006,255.00000000000006
0.15,0.01,0.0,0.138,-0.07498769483777401,0.0,1.923504447657706,0.1507460199165713,-0.1507460199165713,0.4,-0.4,254.00000000000006,254.00000000000006
0.16,0.01,0.0,0.138,-0.07450623468423564,0.0,2.0874879327730014,0.1652260245342663,-0.1652260245342663,0.4,-0.4,254.00000000000006,254.00000000000006
0.17,0.01,0.0,0.138,-0.07401998534723228,0.0,2.25309933192284,0.17985006474489384,-0.17985006474489384,0.4,-0.4,255.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.138,-0.07352976803708788,0.0,2.4200713788372923,0.19459344249359742,-0.19459344249359742,0.4,-0.4,255.00000000000006,255.00000000000006
0.19000000000000003,0.01,0.0,0.138,-0.07303626314964291,0.0,2.5881789125273826,0.20943569474758175,-0.20943569474758175,0.4,-0.4,255.00000000000006,254.00000000000006
0.20000000000000004,0.01,0.0,0.138,-0.0725400344119794,0.0,2.757232824843868,0.22435986730889051,-0.22435986730889051,0.4,-0.4,254.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.138,-0.07204154888783311,0.0,2.927074679819725,0.23935191314787665,-0.23935191314787665,0.4,-0.4,255.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.138,-0.07154119355263988,0.0,3.097572004378435,0.25440019390556756,-0.25440019390556756,0.4,-0.4,254.00000000000006,254.00000000000006
0.23000000000000007,0.01,0.0,0.138,-0.0710392890264275,0.0,3.2686142140619268,0.2694950668743606,-0.2694950668743606,0.4,-0.4,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.138,-0.07053610095190274,0.0,3.4401091189815816,0.28462854279991756,-0.28462854279991756,0.4,-0.4,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.138,-0.07003184942151623,0.0,3.6119799476209664,0.29979400236041404,-0.29979400236041404,0.4,-0.4,254.00000000000006,254.00000000000006
0.26000000000000006,0.01,0.0,0.138,-0.06952671678805089,0.0,3.7841628251721886,0.31498596126162715,-0.31498596126162715,0.4,-0.4,254.00000000000006,254.00000000000006
0.2700000000000001,0.01,0.0,0.138,-0.06902085413591395,0.0,3.9566046459676727,0.3301998756116105,-0.3301998756116105,0.4,-0.4,254.00000000000006,254.00000000000006
0.2800000000000001,0.01,0.0,0.138,-0.06851438664278425,0.0,4.1292612844458745,0.34543198066814257,-0.34543198066814257,0.4,-0.4,254.00000000000006,255.00000000000006
0.2900000000000001,0.01,0.0,0.138,-0.06800741802188794,0.0,4.302096094821991,0.36067915723645294,-0.36067915723645294,0.4,-0.4,254.00000000000006,254.00000000000006
0.3000000000000001,0.01,0.0,0.138,-0.06750003420254855,0.0,4.475078655644666,0.37593882097598325,-0.37593882097598325,0.4,-0.4,254.00000000000006,254.00000000000006
0.3100000000000001,0.01,0.0,0.138,-0.06699230637962644,0.0,4.648183721121768,0.3912088306879263,-0.3912088306879263,0.4,-0.4,254.00000000000006,254.00000000000006
0.3200000000000001,0.01,0.0,0.138,-0.06648429354006495,0.0,4.821390346418866,0.4064874123288737,-0.4064874123288737,0.4,-0.4,254.00000000000006,254.00000000000006
0.3300000000000001,0.01,0.0,0.138,-0.06597604455620491,0.0,4.994681158940239,0.42177309605398733,-0.42177309605398733,0.4,-0.4,255.00000000000006,254.00000000000006
0.34000000000000014,0.01,0.0,0.138,-0.06546759992015473,0.0,5.168041751817327,0.43706466405549654,-0.43706466405549654,0.4,-0.4,255.00000000000006,254.00000000000006
0.35000000000000014,0.01,0.0,0.138,-0.06495899318076456,0.0,5.341460179497062,0.4523611073454266,-0.4523611073454266,0.4,-0.4,254.00000000000006,255.00000000000006
0.36000000000000015,0.01,0.0,0.138,-0.06445025213419991,0.0,5.514926538545296,0.4676615899488742,-0.4676615899488742,0.4,-0.4,254.00000000000006,254.00000000000006
0.37000000000000016,0.01,0.0,0.138,-0.06394139981036541,0.0,5.688432619415835,0.4829654192371301,-0.4829654192371301,0.4,-0.4,254.00000000000006,254.00000000000006
0.38000000000000017,0.01,0.0,0.138,-0.06343245529018443,0.0,5.861971617347081,0.49827202134783627,-0.49827202134783627,0.4,-0.4,255.00000000000006,254.00000000000006
0.3900000000000002,0.01,0.0,0.138,-0.06292343438273844,0.0,6.035537892386856,0.513580920819896,-0.513580920819896,0.4,-0.4,254.00000000000006,254.00000000000006
0.4000000000000002,0.01,0.0,0.138,-0.06241435018629589,0.0,6.209126770301282,0.5288917237204239,-0.5288917237204239,0.4,-0.4,254.00000000000006,255.00000000000006
