time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.001,0.001,0.0,0.138,-0.08,0.0,0.008000000000265572,0.0,0.0,51.000000000000014,51.000000000000014
0.002,0.001,0.0,0.138,-0.08,0.0,0.016000000000076398,0.0,0.0,92.00000000000001,92.00000000000001
0.003,0.001,0.0,0.138,-0.08,0.0,0.02400000000034197,0.0,0.0,124.00000000000003,125.00000000000003
0.004,0.001,0.0,0.138,-0.08,0.0,0.03199999999969805,0.0,0.0,150.00000000000003,150.00000000000003
0.005,0.001,0.0,0.138,-0.08,0.0,0.03999999999996362,0.0,0.0,171.00000000000003,171.00000000000003
0.006,0.001,0.0,0.138,-0.08,0.0,0.047999999999774445,0.0,0.0,187.00000000000003,189.00000000000003
0.007,0.001,0.0,0.138,-0.08,0.0,0.05600000000004002,0.0,0.0,202.00000000000006,201.00000000000006
0.008,0.001,0.0,0.138,-0.08,0.0,0.06399999999985084,0.0,0.0,212.00000000000006,212.00000000000006
0.009000000000000001,0.001,0.0,0.138,-0.08,0.0,0.07200000000011642,0.0,0.0,222.00000000000006,221.00000000000006
0.010000000000000002,0.001,0.0,0.138,-0.08,0.0,0.08000000000038199,0.0,0.0,227.00000000000006,227.00000000000006
0.011000000000000003,0.001,0.0,0.138,-0.08,0.0,0.08800000000019281,0.0,0.0,232.00000000000006,234.00000000000006
0.012000000000000004,0.001,0.0,0.138,-0.08,0.0,0.09600000000000364,0.0,0.0,237.00000000000006,238.00000000000006
0.013000000000000005,0.001,0.0,0.138,-0.08,0.0,0.10399999999981446,0.0,0.0,241.00000000000006,242.00000000000006
0.014000000000000005,0.001,0.0,0.138,-0.08,0.0,0.11200000000008004,0.0,0.0,244.00000000000006,244.00000000000006
0.015000000000000006,0.001,0.0,0.138,-0.08,0.0,0.11999999999989086,0.0,0.0,245.00000000000006,246.00000000000006
0.016000000000000007,0.001,0.0,0.138,-0.08,0.0,0.12800000000015643,0.0,0.0,247.00000000000006,248.00000000000006
0.017000000000000008,0.001,0.0,0.138,-0.08,0.0,0.13599999999996726,0.0,0.0,249.00000000000006,249.00000000000006
0.01800000000000001,0.001,0.0,0.138,-0.08,0.0,0.14400000000023283,0.0,0.0,251.00000000000006,251.00000000000006
0.01900000000000001,0.001,0.0,0.138,-0.08,0.0,0.1519999999995889,0.0,0.0,252.00000000000006,252.00000000000006
0.02000000000000001,0.001,0.0,0.138,-0.08,0.0,0.15999999999985448,0.0,0.0,252.00000000000006,253.00000000000006
0.02100000000000001,0.001,0.0,0.138,-0.08,0.0,0.16800000000012005,0.0,0.0,253.00000000000006,253.00000000000006
0.022000000000000013,0.001,0.0,0.138,-0.08,0.0,0.17599999999993088,0.0,0.0,254.00000000000006,254.00000000000006
0.023000000000000013,0.001,0.0,0.138,-0.08,0.0,0.18400000000019645,0.0,0.0,253.00000000000006,254.00000000000006
0.024000000000000014,0.001,0.0,0.138,-0.08,0.0,0.19200000000000728,0.0,0.0,253.00000000000006,254.00000000000006
0.025000000000000015,0.001,0.0,0.138,-0.08,0.0,0.20000000000027285,0.0,0.0,254.00000000000006,255.00000000000006
0.026000000000000016,0.001,0.0,0.138,-0.08,0.0,0.20799999999962893,0.0,0.0,253.00000000000006,253.00000000000006
0.027000000000000017,0.001,0.0,0.138,-0.08,0.0,0.2159999999998945,0.0,0.0,254.00000000000006,254.00000000000006
0.028000000000000018,0.001,0.0,0.138,-0.08,0.0,0.22399999999970532,0.0,0.0,254.00000000000006,254.00000000000006
0.02900000000000002,0.001,0.0,0.138,-0.08,0.0,0.2319999999999709,0.0,0.0,254.00000000000006,254.00000000000006
0.03000000000000002,0.001,0.0,0.138,-0.08,0.0,0.24000000000023647,0.0,0.0,254.00000000000006,254.00000000000006
0.03100000000000002,0.001,0.0,0.138,-0.08,0.0,0.2480000000000473,0.0,0.0,254.00000000000006,254.00000000000006
0.03200000000000002,0.001,0.0,0.138,-0.08,0.0,0.25600000000031287,0.0,0.0,254.00000000000006,254.00000000000006
0.03300000000000002,0.001,0.0,0.138,-0.08,0.0,0.2640000000001237,0.0,0.0,254.00000000000006,254.00000000000006
0.03400000000000002,0.001,0.0,0.138,-0.08,0.0,0.2719999999999345,0.0,0.0,254.00000000000006,254.00000000000006
0.035000000000000024,0.001,0.0,0.138,-0.08,0.0,0.27999999999974534,0.0,0.0,254.00000000000006,255.00000000000006
0.036000000000000025,0.001,0.0,0.138,-0.08,0.0,0.2880000000000109,0.0,0.0,254.00000000000006,254.00000000000006
0.037000000000000026,0.001,0.0,0.138,-0.08,0.0,0.29599999999982174,0.0,0.0,254.00000000000006,254.00000000000006
0.03800000000000003,0.001,0.0,0.138,-0.08,0.0,0.3040000000000873,0.0,0.0,254.00000000000006,254.00000000000006
0.03900000000000003,0.001,0.0,0.138,-0.08,0.0,0.3120000000003529,0.0,0.0,254.00000000000006,254.00000000000006
0.04000000000000003,0.001,0.0,0.138,-0.08,0.0,0.3200000000001637,0.0,0.0,255.00000000000006,255.00000000000006
0.04100000000000003,0.001,0.0,0.138,-0.08,0.0,0.32799999999997453,0.0,0.0,254.00000000000006,254.00000000000006
0.04200000000000003,0.001,0.0,0.138,-0.08,0.0,0.33599999999978536,0.0,0.0,254.00000000000006,254.00000000000006
0.04300000000000003,0.001,0.0,0.138,-0.08,0.0,0.34400000000005093,0.0,0.0,254.00000000000006,254.00000000000006
0.04400000000000003,0.001,0.0,0.138,-0.08,0.0,0.35199999999986176,0.0,0.0,254.00000000000006,254.00000000000006
0.04500000000000003,0.001,0.0,0.138,-0.08,0.0,0.36000000000012733,0.0,0.0,254.00000000000006,254.00000000000006
0.046000000000000034,0.001,0.0,0.138,-0.08,0.0,0.36799999999993815,0.0,0.0,255.00000000000006,255.00000000000006
0.047000000000000035,0.001,0.0,0.138,-0.08,0.0,0.3760000000002037,0.0,0.0,254.00000000000006,254.00000000000006
0.048000000000000036,0.001,0.0,0.138,-0.08,0.0,0.3839999999995598,0.0,0.0,255.00000000000006,254.00000000000006
0.04900000000000004,0.001,0.0,0.138,-0.08,0.0,0.3919999999998254,0.0,0.0,254.00000000000006,254.00000000000006
0.05000000000000004,0.001,0.0,0.138,-0.08,0.0,0.40000000000009095,0.0,0.0,254.00000000000006,254.00000000000006
0.05100000000000004,0.001,0.0,0.138,-0.08,0.0,0.4079999999999018,0.0,0.0,254.00000000000006,255.00000000000006
0.05200000000000004,0.001,0.0,0.138,-0.08,0.0,0.41600000000016735,0.0,0.0,255.00000000000006,254.00000000000006
0.05300000000000004,0.001,0.0,0.138,-0.08,0.0,0.42399999999997817,0.0,0.0,254.00000000000006,255.00000000000006
