time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
0.05,0.05,0.0,0.138,-0.08,0.0,0.40000000000009095,0.5,-0.5,251.00000000000006,254.00000000000006
0.1,0.05,0.0,0.138,-0.0785621839899874,0.0,0.9783355409931573,0.5,-0.5,254.00000000000006,254.00000000000006
0.2,0.1,0.0,0.138,-0.07313279335529456,0.0,2.8616998949578374,0.5,-0.5,254.00000000000006,255.00000000000006
0.3,0.09999999999999998,0.0,0.138,-0.06690839598506362,0.0,5.062754414330357,0.5,-0.5,255.00000000000006,254.00000000000006
0.4,0.10000000000000003,0.0,0.138,-0.06056281516774991,0.0,7.317072716476559,0.5,-0.5,255.00000000000006,255.00000000000006
0.5,0.09999999999999998,0.0,0.138,-0.05419876227065322,0.0,9.579622467769696,0.5,-0.5,254.00000000000006,254.00000000000006
0.6,0.09999999999999998,0.0,0.138,-0.04783189366118226,0.0,11.843429556681713,0.5,-0.5,254.00000000000006,254.00000000000006
0.7,0.09999999999999998,0.0,0.138,-0.04146459585065394,0.0,14.107428363157396,0.5,-0.5,254.00000000000006,254.00000000000006
0.8,0.10000000000000009,0.0,0.138,-0.03509723261670048,0.0,16.371456394689176,0.5,-0.5,255.00000000000006,254.00000000000006
0.9,0.09999999999999998,0.0,0.138,-0.028729859410207413,0.0,18.63548888104924,0.5,-0.5,254.00000000000006,254.00000000000006
1.0,0.09999999999999998,0.0,0.138,-0.022362484683592976,0.0,20.89952204646397,0.5,-0.5,255.00000000000006,254.00000000000006
1.1,0.10000000000000009,0.0,0.138,-0.015995109725264578,0.0,23.16355531538602,0.5,-0.5,254.00000000000006,254.00000000000006
1.2,0.09999999999999987,0.0,0.138,-0.009627734731616072,0.0,25.427588600087347,0.5,-0.5,254.00000000000006,254.00000000000006
1.3,0.10000000000000009,0.0,0.138,-0.003260359732583623,0.0,27.69162188719247,0.5,-0.5,254.00000000000006,254.00000000000006
1.4,0.09999999999999987,0.0,0.138,0.0031070152672694473,0.0,29.955655174665026,0.5,-0.5,254.00000000000006,254.00000000000006
1.5,0.10000000000000009,0.0,0.138,0.009474390267247682,0.0,32.21968846219352,0.5,-0.5,254.00000000000006,254.00000000000006
1.6,0.10000000000000009,0.0,0.138,0.015841765267244942,0.0,34.48372174972974,0.5,-0.5,255.00000000000006,254.00000000000006
1.7,0.09999999999999987,0.0,0.138,0.022209140267244923,0.0,36.747755037268234,0.5,-0.5,254.00000000000006,254.00000000000006
1.8,0.10000000000000009,0.0,0.138,0.028576515267244917,0.0,39.01178832480673,0.5,-0.5,254.00000000000006,254.00000000000006
1.9,0.09999999999999987,0.0,0.138,0.03494389026724491,0.0,41.275821612344316,0.5,-0.5,254.00000000000006,254.00000000000006
2.0,0.10000000000000009,0.0,0.138,0.04131126526724491,0.0,43.53985489988327,0.5,-0.5,254.00000000000006,255.00000000000006
2.1,0.10000000000000009,0.0,0.138,0.0476786402672449,0.0,45.80388818742085,0.5,-0.5,254.00000000000006,254.00000000000006
2.2,0.10000000000000009,0.0,0.138,0.05404601526724488,0.0,48.0679214749598,0.5,-0.5,255.00000000000006,254.00000000000006
2.3,0.09999999999999964,0.0,0.138,0.060413390267244835,0.0,50.331954762497844,0.5,-0.5,254.00000000000006,255.00000000000006
2.4,0.10000000000000009,0.0,0.138,0.06678076526724482,0.0,52.595988050035885,0.5,-0.5,254.00000000000006,254.00000000000006
2.5,0.10000000000000009,0.0,0.138,0.0731481402672448,0.0,54.860021337574835,0.5,-0.5,255.00000000000006,254.00000000000006
2.6,0.10000000000000009,0.0,0.138,0.07951551526724478,0.0,57.124054625112876,0.5,-0.5,254.00000000000006,254.00000000000006
2.7,0.10000000000000009,0.0,0.138,0.08588289026724476,0.0,59.38808791265183,0.5,-0.5,254.00000000000006,254.00000000000006
2.8,0.09999999999999964,0.0,0.138,0.09225026526724471,0.0,61.65212120019032,0.5,-0.5,255.00000000000006,255.00000000000006
2.9,0.10000000000000009,0.0,0.138,0.09861764026724469,0.0,63.91615448772836,0.5,-0.5,254.00000000000006,254.00000000000006
3.0,0.10000000000000009,0.0,0.138,0.10498501526724467,0.0,66.18018777526686,0.5,-0.5,254.00000000000006,254.00000000000006
