time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor1.offset_x,{sensorFMU}.sensor1.offset_y,{sensorFMU}.sensor2.lf_1_sensor_reading,{sensorFMU}.sensor2.offset_x,{sensorFMU}.sensor2.offset_y
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.019,0.099,0.0,-0.019,0.099
0.01,0.01,0.0,0.138,-0.08,0.0,0.08000000000038199,0.0,0.0,0.4,-0.4,143.00000000000003,0.019,0.099,144.00000000000003,-0.019,0.099
0.02,0.01,0.0,0.138,-0.07989384341742663,0.0,0.1663679864595906,0.003192679175139124,-0.003192679175139124,0.4,-0.4,206.00000000000006,0.019,0.099,206.00000000000006,-0.019,0.099
0.03,0.01,0.0,0.138,-0.07970661619630784,0.0,0.26040546423018895,0.00882357304337351,-0.00882357304337351,0.4,-0.4,233.00000000000006,0.019,0.099,233.00000000000006,-0.019,0.099
0.04,0.01,0.0,0.138,-0.0794641464665083,0.0,0.36306333867696594,0.01611589574411111,-0.01611589574411111,0.4,-0.4,246.00000000000006,0.019,0.099,245.00000000000006,-0.019,0.099
0.05,0.01,0.0,0.138,-0.07917590741437532,0.0,0.4744434397848636,0.024784739417283687,-0.024784739417283687,0.4,-0.4,251.00000000000006,0.019,0.099,251.00000000000006,-0.019,0.099
0.060000000000000005,0.01,0.0,0.138,-0.07884974719198992,0.0,0.5941347462353406,0.0345940694138368,-0.0345940694138368,0.4,-0.4,252.00000000000006,0.019,0.099,253.00000000000006,-0.019,0.099
0.07,0.01,0.0,0.138,-0.0784921682139571,0.0,0.7214566500274486,0.04534832439226781,-0.04534832439226781,0.4,-0.4,254.00000000000006,0.019,0.099,254.00000000000006,-0.019,0.099
0.08,0.01,0.0,0.138,-0.07810855791358207,0.0,0.8556118074725418,0.056885476283246,-0.056885476283246,0.4,-0.4,254.00000000000006,0.019,0.099,254.00000000000006,-0.019,0.099
0.09,0.01,0.0,0.138,-0.07770337993081736,0.0,0.9957793493967984,0.06907128027616977,-0.06907128027616977,0.4,-0.4,254.00000000000006,0.019,0.099,254.00000000000006,-0.019,0.099
0.09999999999999999,0.01,0.0,0.138,-0.07728033251685174,0.0,1.1411691592870739,0.08179451077137648,-0.08179451077137648,0.4,-0.4,254.00000000000006,0.019,0.099,255.00000000000006,-0.019,0.099
